trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,duration_hours,entry_day_of_week,entry_hour
dCRACi3z,SPX,BTO,1.0,2.55,0.0,2025-01-22 14:58:34.210717+00:00,2025-01-25 17:45:22.470600+00:00,-2.55,74.78007218972222,3.0,14.0
mVvcF25m,SPX,BTO,3.0,4.1,6.0,2025-01-22 19:44:57.384093+00:00,2025-01-25 17:45:22.545423+00:00,5.7,70.00698925833333,3.0,19.0
U3AMifyg,SPX,STO,6.0,25.45,0.0,2025-01-23 14:30:31.753593+00:00,2025-03-26 15:17:48.227000+00:00,-152.7,1488.7879092797223,4.0,14.0
bR5K5aTd,QQQ,BTO,6.0,0.72,0.0,2025-01-23 14:36:43.516239+00:00,2025-02-28 00:00:00+00:00,-4.32,849.3879121558333,4.0,14.0
2HZr2zc6,MSTR,STO,1.0,388.55,377.9,2025-01-23 14:51:07.310808+00:00,2025-01-23 15:09:14.200243+00:00,-10.65,0.30191373194444443,4.0,14.0
ViHQFrVa,SPX,BTO,1.0,0.4,0.0,2025-01-23 14:56:46.540747+00:00,2025-02-28 00:00:00+00:00,-0.4,849.0537386813888,4.0,14.0
Lvk52gha,SPX,BTO,0.6,10.5,0.0,2025-01-23 15:17:11.843786+00:00,2025-02-28 00:00:00+00:00,-31.63,848.7133767261112,4.0,15.0
CH5Dgbuo,MSTR,STO,1.0,384.94,381.46,2025-01-23 15:29:53.576231+00:00,2025-01-23 20:37:30.159004+00:00,-3.48000000000002,5.126828548055555,4.0,15.0
Wj4RPvB5,ES,STO,10.0,6130.75,6140.75,2025-01-23 16:24:11.798749+00:00,2025-01-23 20:52:12.872408+00:00,100.0,4.466964905277778,4.0,16.0
UI0PVK0H,QQQ,BTO,3.0,3.27,4.545,2025-01-30 17:41:29.983000+00:00,2025-01-30 20:22:39.232000+00:00,3.825,2.6859025,4.0,17.0
OFA3LV7L,SPXW,BTO,1.0,3.7,18.04,2025-01-31 17:47:37.039000+00:00,2025-01-31 20:07:20.704000+00:00,14.34,2.3287958333333334,5.0,17.0
NLU6H4TC,SPY,BTO,1.0,4.21,0.0,2025-01-31 20:07:08.667000+00:00,2025-02-11 19:01:46.970027+00:00,-4.21,262.9106397297222,5.0,20.0
OCIR1SUR,SPY,BTO,2.0,2.06,3.477,2025-02-07 14:52:10.629000+00:00,2025-02-13 16:54:08.331114+00:00,2.834,146.03269503166666,5.0,14.0
GAOOF89C,SPY,BTO,2.0,2.1,2.5,2025-02-11 19:01:46.733000+00:00,2025-02-14 19:31:08.495079+00:00,0.8,72.48937835527778,2.0,19.0
R3CCQKXW,QQQ,BTO,1.0,0.35,0.34,2025-02-13 16:54:08.226000+00:00,2025-02-13 17:05:08.162000+00:00,-0.00999999999999995,0.18331555555555556,4.0,16.0
LNNP2IWK,SPXW,BTO,1.0,11.85,158.0,2025-02-13 20:21:19.664000+00:00,2025-02-20 15:48:48.116981+00:00,222.0,163.45790360583334,4.0,20.0
DM660HNI,QQQ,BTO,2.0,0.62,0.3,2025-02-19 17:07:47.967000+00:00,2025-02-19 19:16:07.643000+00:00,-0.64,2.1387988888888887,3.0,17.0
KOO5XWF0,SPY,BTO,1.5,3.03,4.39333333333333,2025-02-20 15:48:47.976000+00:00,2025-02-21 18:34:46.766000+00:00,5.86,26.766330555555555,4.0,15.0
L8FVJCTG,QQQ,BTO,1.0,0.52,0.61,2025-02-25 16:12:41.475000+00:00,2025-02-28 00:00:00+00:00,0.09,55.78847916666667,2.0,16.0
M826WU7M,SPXW,BTO,1.0,4.4,14.15,2025-02-27 14:32:30.331000+00:00,2025-02-27 15:01:54.702000+00:00,9.75,0.49010305555555556,4.0,14.0
HIGNMJL7,QQQ,BTO,1.0,4.72,5.898,2025-02-28 14:37:55.872000+00:00,2025-02-28 19:53:50.429000+00:00,1.178,5.265154722222222,5.0,14.0
E4FFBV7W,NVDA,BTO,1.0,0.31,1.05,2025-02-28 14:46:23.253000+00:00,2025-02-28 15:34:26.333000+00:00,0.74,0.8008555555555555,5.0,14.0
NR95A8TB,NVDA,BTO,3.0,0.1,0.825,2025-02-28 17:57:25.452000+00:00,2025-02-28 20:52:43.419000+00:00,2.175,2.9216575,5.0,17.0
AWETU0CL,SPXW,BTO,1.0,2.05,7.0,2025-02-28 17:58:55.099000+00:00,2025-02-28 20:32:59.829000+00:00,4.95,2.5679805555555557,5.0,17.0
QQGA693U,SPXW,BTO,1.0,25.0,38.0,2025-02-28 18:26:46.873000+00:00,2025-02-28 18:30:48.901000+00:00,13.0,0.06723,5.0,18.0
T0YNY2HK,QQQ,BTO,1.0,0.92,0.0,2025-03-03 14:32:56.298000+00:00,2025-03-10 13:17:22.861000+00:00,-1.45,166.74071194444446,1.0,14.0
X144QE5D,NVDA,BTO,1.0,0.57,0.0,2025-03-03 16:31:10.758000+00:00,2025-03-10 13:17:11.512000+00:00,-0.57,164.76687611111112,1.0,16.0
YJJJ9VLH,SOXL,BTO,1.0,0.76,0.0,2025-03-03 18:13:18.842000+00:00,2025-03-10 13:17:30.877000+00:00,-1.12,163.0700097222222,1.0,18.0
ZQV0X25S,SPXW,BTO,1.0,16.0,0.0,2025-03-03 19:01:19+00:00,2025-03-10 13:17:55.341000+00:00,-16.35,162.2767613888889,1.0,19.0
